id,Name,SMILES,Neutral_Energy_Hatree,Oxidation_Energy_Hatree,Reduction_Energy_Hatree,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Oxidation_Potential_V,Reduction_Potential_V,Redox_Window_V,Monomer_Type,IP_Hatree,EA_Hatree,Mulliken_Electronegativity_Hatree,Chemical_Potential_Hatree,Hardness_Hatree,Softness_Hatree,Electrophilicity_Index_Hatree,Corrected_Redox_Window_V,Acetone_Gibbs_Free_Energy_Hatree,Acetone_Solvation_Free_Energy_kJ_per_mol,Chloroform_Gibbs_Free_Energy_Hatree,Chloroform_Solvation_Free_Energy_kJ_per_mol,DMF_Gibbs_Free_Energy_Hatree,DMF_Solvation_Free_Energy_kJ_per_mol,DMSO_Gibbs_Free_Energy_Hatree,DMSO_Solvation_Free_Energy_kJ_per_mol,Hexane_Gibbs_Free_Energy_Hatree,Hexane_Solvation_Free_Energy_kJ_per_mol,Water_Gibbs_Free_Energy_Hatree,Water_Solvation_Free_Energy_kJ_per_mol,THF_Gibbs_Free_Energy_Hatree,THF_Solvation_Free_Energy_kJ_per_mol,Software,Source,Theory_Level
18286,OMG_monomer_11133,COc1ccc(C=NN(CC(=O)O)CC(=O)O)cc1Br,-3524.77743,-3524.478397,-3524.788155,-8.7391,0.0754,0.26675663,0.00094421,0.19852351,0.06917733,3.739773263,-3524.578907,-3524.509729,8.8145,3.693711617,-4.148301143,7.842012759,Dicarboxylic acid,0.299033515,0.010724223,0.154878869,-0.154878869,0.288309293,3.46849729,0.041600227,2.635864612,-3524.612291,-87.64904399,-3524.608424,-77.49728657,-3524.611032,-84.34394511,-3524.608879,-78.69268295,-3524.600414,-56.46607132,-3524.606971,-73.68129204,-3524.609248,-79.66175748,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18287,OMG_monomer_11135,COc1ccc(Br)cc1C=NN(CC(=O)O)CC(=O)O,-3524.785554,-3524.497088,-3524.782933,-8.4079,0.2505,0.26690195,0.00094421,0.19961678,0.06822938,3.821308698,-3524.585937,-3524.517708,8.6584,3.406273045,-4.511289885,7.917562929,Dicarboxylic acid,0.288465921,-0.002620952,0.142922485,-0.142922485,0.291086872,3.435400545,0.035087183,2.768550364,-3524.618324,-85.03260084,-3524.614377,-74.66736441,-3524.61725,-82.21073302,-3524.615194,-76.81388021,-3524.606757,-54.66257239,-3524.613069,-71.2344927,-3524.615444,-77.47028354,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18288,OMG_monomer_11136,COc1cc(C=NN(CC(=O)O)CC(=O)O)ccc1OCc1ccccc1,-1296.944691,-1296.657987,-1296.928682,-8.2724,0.2876,0.39612092,0.00094421,0.31886844,0.07819669,2.881697564,-1296.625823,-1296.547626,8.56,3.358363775,-4.875444165,8.23380794,Dicarboxylic acid,0.286704551,-0.016008977,0.135347787,-0.135347787,0.302713527,3.303453299,0.030258019,3.627749342,-1296.662006,-94.99950989,-1296.658647,-86.18026256,-1296.660156,-90.1420306,-1296.657302,-82.64905094,-1296.65011,-63.76566385,-1296.656212,-79.78649154,-1296.658791,-86.55668691,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18289,OMG_monomer_11137,O=C(O)CN(CC(=O)O)N=Cc1cc(Br)ccc1O,-3485.486345,-3485.195279,-3485.475249,-8.4081,0.0588,0.23712235,0.00094421,0.173198,0.06486856,6.08059413,-3485.313147,-3485.248278,8.4669,3.476989158,-4.741797237,8.218786396,Dicarboxylic acid,0.291065778,-0.011095487,0.139985146,-0.139985146,0.302161265,3.309491048,0.03242613,3.068423904,-3485.352163,-102.4381382,-3485.348557,,-3485.350698,-98.59152727,-3485.348863,-93.77349383,-3485.336741,-61.9477677,-3485.353135,,-3485.348005,-91.52152196,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18290,OMG_monomer_11138,O=C(O)CN(CC(=O)O)N=Cc1ccc(OCc2ccccc2)cc1,-1182.412726,-1182.110472,-1182.404009,-8.6439,0.0828,0.36152939,0.00094421,0.28953462,0.07293898,7.569634333,-1182.123191,-1182.050252,8.7267,3.781310553,-4.677113711,8.458424264,Dicarboxylic acid,0.302254064,-0.008717416,0.146768324,-0.146768324,0.31097148,3.215728976,0.034634914,3.772041493,-1182.163114,,-1182.158909,,-1182.161475,-100.5143895,-1182.158668,-93.14451355,-1182.149955,,-1182.155684,-85.31039093,-1182.159758,,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18291,OMG_monomer_11139,O=C(O)CN(CC(=O)O)N=Cc1ccc(O)c(Br)c1,-3485.485544,-3485.195659,-3485.479126,-8.3725,0.0382,0.23711904,0.00094421,0.17269198,0.06537128,6.43890648,-3485.312852,-3485.24748,8.4107,3.444851109,-4.614550802,8.059401911,Dicarboxylic acid,0.289884232,-0.006417309,0.141733462,-0.141733462,0.296301541,3.374940263,0.033898531,3.045603674,-3485.353611,,-3485.34916,,-3485.352346,,-3485.350568,,-3485.337135,-63.75701056,-3485.354053,,-3485.349313,,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18292,OMG_monomer_11140,O=C(O)CN(CC(=O)O)N=Cc1c(O)ccc2ccccc12,-1065.72765,-1065.424448,-1065.754462,-8.6449,-0.3919,0.29573999,0.00094421,0.2318931,0.06479111,6.252359936,-1065.495757,-1065.430966,8.253,3.807102956,-3.710701472,7.517804428,Dicarboxylic acid,0.303202315,0.026812446,0.16500738,-0.16500738,0.276389869,3.618077626,0.049255488,3.148793026,-1065.532838,-97.35559538,-1065.527985,-84.6155002,-1065.531962,-95.05630055,-1065.529721,-89.17438788,-1065.520463,-64.86568471,-1065.525545,-78.20949651,-1065.530026,-89.9734323,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18293,OMG_monomer_11141,COc1cc(OC)c(OC)cc1C=NN(CC(=O)O)CC(=O)O,-1180.419997,-1180.136759,-1180.409338,-8.1473,0.1829,0.34541269,0.00094421,0.27072606,0.07563085,4.391970154,-1180.149271,-1180.07364,8.3302,3.264073067,-4.729919711,7.993992777,Dicarboxylic acid,0.28323798,-0.010658813,0.136289584,-0.136289584,0.293896793,3.402554988,0.031600975,2.682808848,-1180.179303,-78.84790342,-1180.174839,-67.12903692,-1180.177797,-74.89545381,-1180.175572,-69.05378991,-1180.167047,-46.66957936,-1180.176684,-71.97208829,-1180.176031,-70.25807308,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18294,OMG_monomer_11146,O=C(O)CN(CC(=O)O)N=Cc1ccc(Br)cc1,-3410.244512,-3409.94702,-3410.248016,-8.6167,0.1181,0.23181528,0.00094421,0.16935043,0.06340906,4.583341116,-3410.075161,-3410.011752,8.7348,3.651788872,-4.344692894,7.996481767,Dicarboxylic acid,0.297492238,0.003503938,0.150498088,-0.150498088,0.2939883,3.401495907,0.038521387,2.935235848,-3410.109906,-91.22070544,-3410.106464,-82.18424176,-3410.108627,-87.86473237,-3410.106668,-82.72079416,-3410.097311,-58.15257368,-3410.107116,-83.89707267,-3410.106617,-82.58528647,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18295,OMG_monomer_11147,O=C(O)CN(CC(=O)O)N=Cc1ccc(Cl)c(Cl)c1,-1756.022279,-1755.72407,-1756.028674,-8.6413,0.0195,0.22375814,0.00094421,0.16008837,0.06461399,5.380531363,-1755.862191,-1755.797577,8.6608,3.671282371,-4.266049357,7.937331727,Dicarboxylic acid,0.298208911,0.006395244,0.152302077,-0.152302077,0.291813666,3.426844302,0.039744408,2.970736078,-1755.898312,-94.83579889,-1755.89436,-84.46147798,-1755.897012,-91.4242572,-1755.895061,-86.29990696,-1755.884383,-58.26580673,-1755.895105,-86.41782483,-1755.894664,-85.25904563,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
