id,Name,reactant_1,reactant_2,psmiles,SMILES,Energy_Hatree,es,reaction_type,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
643,OMG_polymer_50067,O=C(O)CCCCSc1ccccc1C(=O)O,Nc1ccc(S(=O)(=O)O)c(N)c1,*Nc1ccc(S(=O)(=O)O)c(NC(=O)CCCCSc2ccccc2C(*)=O)c1,Nc1ccc(S(=O)(=O)O)c(NC(=O)CCCCSc2ccccc2C=O)c1,-1980.038818926926,0.9975751,Polyamidation,285.73387,-8.6533,-0.3474,0.39121026,0.00094421,0.31253972,0.07961476,4.3281125,-1979.726279206926,-1979.646664456926,8.3059,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
644,OMG_polymer_169784,O=C(O)c1ccccc1C(=O)NC(C(=O)O)c1ccccc1,N#Cc1ccc(C(=O)O)c(N)c1N,*Nc1c(C(=O)O)ccc(C#N)c1NC(=O)c1ccccc1C(=O)NC(C(*)=O)c1ccccc1,N#Cc1ccc(C(=O)O)c(N)c1NC(=O)c1ccccc1C(=O)NC(C=O)c1ccccc1,-1520.682512672843,0.9939672,Polyamidation,327.531,-8.4804,-0.3765,0.41262083,0.00094421,0.32720539,0.08635964,2.286998,-1520.355307282843,-1520.268947632843,8.1039,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
645,OMG_polymer_12575,O=C(O)CC(NC(=O)c1ccc(Br)cc1)C(=O)O,Nc1cc(N)c(CC(=O)O)cc1Br,*Nc1cc(NC(=O)CC(NC(=O)c2ccc(Br)cc2)C(*)=O)c(CC(=O)O)cc1Br,Nc1cc(NC(=O)CC(C=O)NC(=O)c2ccc(Br)cc2)c(CC(=O)O)cc1Br,-6422.819756728266,0.99867237,Polyamidation,313.72088,-8.3891,0.0489,0.36953436,0.00094421,0.28334423,0.08713434,5.575041744,-6422.536412498266,-6422.449278158266,8.437999999999999,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
646,OMG_polymer_21498,O=C(O)CNc1ccccc1C(=O)O,Nc1cc(C(=O)O)cc(Br)c1N,*Nc1cc(C(=O)O)cc(Br)c1NC(=O)CNc1ccccc1C(*)=O,Nc1cc(C(=O)O)cc(Br)c1NC(=O)CNc1ccccc1C=O,-3657.414164702368,0.99954,Polyamidation,250.24339,-8.6361,-0.4147,0.30650406,0.00094421,0.2345755,0.07287278,3.589645626,-3657.179589202368,-3657.106716432368,8.221400000000001,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
647,OMG_polymer_81542,CSc1ccccc1C(CC(=O)O)C(=O)O,Nc1cc(N)c(C(=O)O)nc1Cl,*Nc1cc(NC(=O)CC(C(*)=O)c2ccccc2SC)c(C(=O)O)nc1Cl,CSc1ccccc1C(C=O)CC(=O)Nc1cc(N)c(Cl)nc1C(=O)O,-1981.092870172866,0.9989454,Polyamidation,277.8151,-8.6816,0.0509,1.01275519,0.00094421,0.25982747,0.07802086,3.983204207,-1980.833042702866,-1980.079170772866,8.7325,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
648,OMG_polymer_159799,O=C(O)CS(=O)(=O)CC(NC(=O)OCc1ccccc1)C(=O)O,NC(N)=Nc1ccc(C(=O)O)cc1,*NC(=Nc1ccc(C(=O)O)cc1)NC(=O)CS(=O)(=O)CC(NC(=O)OCc1ccccc1)C(*)=O,NC(=Nc1ccc(C(=O)O)cc1)NC(=O)CS(=O)(=O)CC(C=O)NC(=O)OCc1ccccc1,-2032.633930221607,0.7918613,Polyamidation,319.10033,-9.1279,-0.3732,0.45977209,0.00094421,0.36692426,0.09379205,7.718099489,-2032.267005961607,-2032.173213921607,8.7547,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
649,OMG_polymer_190892,O=C(O)C1CCC(C(=O)O)N1C(=O)OCc1ccccc1,Nc1cc(C(=O)O)cc(Br)c1N,*Nc1cc(C(=O)O)cc(Br)c1NC(=O)C1CCC(C(*)=O)N1C(=O)OCc1ccccc1,Nc1cc(C(=O)O)cc(Br)c1NC(=O)C1CCC(C=O)N1C(=O)OCc1ccccc1,-4002.060335378095,0.98331094,Polyamidation,310.28316,-8.7205,0.0338,0.4208663,0.00094421,0.33538291,0.0864276,4.913497879,-4001.724952468095,-4001.638524868095,8.754299999999999,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
650,OMG_polymer_143755,N#Cc1cc(C(=O)O)cc(C(=O)O)c1,Nc1ccc(C(=O)O)cc1N,*Nc1ccc(C(=O)O)cc1NC(=O)c1cc(C#N)cc(C(*)=O)c1,N#Cc1cc(C=O)cc(C(=O)Nc2cc(C(=O)O)ccc2N)c1,-1081.597795666482,0.99837387,Polyamidation,221.34255,-8.9089,-0.6565,0.26738963,0.00094421,0.20020537,0.06812848,5.080446574,-1081.397590296482,-1081.329461826482,8.2524,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
651,OMG_polymer_199858,CC(C)(C)c1ccc(C=NN(CC(=O)O)CC(=O)O)cc1,Cc1c(N)ccc(N)c1C(=O)O,*Nc1ccc(NC(=O)CN(CC(*)=O)N=Cc2ccc(C(C)(C)C)cc2)c(C(=O)O)c1C,Cc1c(N)ccc(NC(=O)CN(CC=O)N=Cc2ccc(C(C)(C)C)cc2)c1C(=O)O,-1413.222193582561,0.9955662,Polyamidation,336.68137,-7.9671,0.2115,2.05634618,0.00094421,0.42603612,0.08851187,3.342653785,-1412.796157462561,-1411.164903192561,8.1786,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
652,OMG_polymer_81921,O=C(O)CC(CC(=O)O)c1c(F)cccc1F,Cc1c(C(=O)O)ccc(N)c1N,*Nc1ccc(C(=O)O)c(C)c1NC(=O)CC(CC(*)=O)c1c(F)cccc1F,Cc1c(C(=O)O)ccc(N)c1NC(=O)CC(CC=O)c1c(F)cccc1F,-1345.094719690936,0.9990872,Polyamidation,249.5513,-8.412,0.2687,0.37174458,0.00094421,0.29462777,0.07806101,2.397685524,-1344.800091920936,-1344.722030900936,8.680700000000002,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
653,OMG_polymer_135783,CC(NC(C)C(=O)O)C(=O)O,Nc1c(C(=O)O)cc(Cl)c(F)c1N,*Nc1c(C(=O)O)cc(Cl)c(F)c1NC(=O)C(C)NC(C)C(*)=O,CC(C=O)NC(C)C(=O)Nc1c(N)c(C(=O)O)cc(Cl)c1F,-1529.724286614158,0.9974837,Polyamidation,210.6157,-8.4863,0.1275,0.30242595,0.00094421,0.22999663,0.07337353,5.230809163,-1529.494289984158,-1529.420916454158,8.6138,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
654,OMG_polymer_168488,CCOC(=O)CCCC(=O)N(CC(=O)O)CC(=O)O,COc1cc(N)cc(N)c1C(=O)O,*Nc1cc(NC(=O)CN(CC(*)=O)C(=O)CCCC(=O)OCC)c(C(=O)O)c(OC)c1,CCOC(=O)CCCC(=O)N(CC=O)CC(=O)Nc1cc(N)cc(OC)c1C(=O)O,-1505.28642399508,0.99694854,Polyamidation,283.97369,-8.3552,0.1545,0.47254512,0.00094421,0.3844473,0.08904203,7.317204485,-1504.90197669508,-1504.81293466508,8.5097,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
655,OMG_polymer_64582,O=C(O)C(CCCc1ccccc1)C(=O)O,COc1cc(N)c(C(=O)O)cc1N,*Nc1cc(OC)c(NC(=O)C(CCCc2ccccc2)C(*)=O)cc1C(=O)O,COc1cc(N)c(C(=O)O)cc1NC(=O)C(C=O)CCCc1ccccc1,-1261.090380096884,0.9994937,Polyamidation,277.99796,-7.7165,0.1942,1.26324691,0.00094421,0.34259114,0.07876525,4.153757816,-1260.747788956884,-1259.826188976884,7.9107,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
656,OMG_polymer_149314,O=C(O)CCC(C(=O)O)N(Cc1ccccc1)Cc1ccccc1,Nc1c(Br)ccc(C(=O)O)c1N,*Nc1c(Br)ccc(C(=O)O)c1NC(=O)CCC(C(*)=O)N(Cc1ccccc1)Cc1ccccc1,Nc1c(Br)ccc(C(=O)O)c1NC(=O)CCC(C=O)N(Cc1ccccc1)Cc1ccccc1,0.0,0.9955576,Polyamidation,0.0,0.0,0.0,0.51099521,0.00094421,0.42116111,0.09077831,6.102148411,0.42116111,0.51193942,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
657,OMG_polymer_165458,N#CCC(=O)N(CC(=O)O)CC(=O)O,Cc1cc(N)c(C(=O)O)c(N)c1,*Nc1cc(C)cc(NC(=O)CN(CC(*)=O)C(=O)CC#N)c1C(=O)O,Cc1cc(N)c(C(=O)O)c(NC(=O)CN(CC=O)C(=O)CC#N)c1,-1176.486436223164,0.998662,Polyamidation,223.04616,-8.2682,0.2678,0.33031068,0.00094421,0.25667072,0.07458417,2.063491527,-1176.229765503164,-1176.155181333164,8.536,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
658,OMG_polymer_20047,O=C(O)c1ccccc1Nc1ccccc1C(=O)O,Nc1ccnc(N)c1C(=O)O,*Nc1ccnc(NC(=O)c2ccccc2Nc2ccccc2C(*)=O)c1C(=O)O,Nc1ccnc(NC(=O)c2ccccc2Nc2ccccc2C=O)c1C(=O)O,-1291.803311749032,0.99896777,Polyamidation,303.9782,-7.8004,-0.0386,0.35888142,0.00094421,0.28423013,0.07559551,9.069921052,-1291.519081619032,-1291.443486119032,7.7618,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
659,OMG_polymer_46059,O=C(O)CSCc1ccc(CC(=O)O)cc1,Cc1c(N)c(C)c(S(=O)(=O)O)c(C)c1N,*Nc1c(C)c(NC(=O)CSCc2ccc(CC(*)=O)cc2)c(C)c(S(=O)(=O)O)c1C,Cc1c(N)c(C)c(S(=O)(=O)O)c(C)c1NC(=O)CSCc1ccc(CC=O)cc1,0.0,0.99415165,Polyamidation,0.0,0.0,0.0,0.44884674,0.00094421,0.36363896,0.08615199,4.60600275,0.36363896,0.44979095,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
660,OMG_polymer_133868,O=C(O)CN(CC(=O)O)C(=O)C1CCCC1,Nc1cc(Br)c(C(=O)O)cc1N,*Nc1cc(Br)c(C(=O)O)cc1NC(=O)CN(CC(*)=O)C(=O)C1CCCC1,Nc1cc(Br)c(C(=O)O)cc1NC(=O)CN(CC=O)C(=O)C1CCCC1,-3774.355482746576,0.9991491,Polyamidation,265.90071,-8.3217,0.124,0.38968973,0.00094421,0.30920568,0.08142825,7.003340124,-3774.046277066576,-3773.964848806576,8.4457,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
661,OMG_polymer_45507,O=C(O)CSCc1c(Cl)cccc1C(=O)O,Nc1cnc(C(=O)O)cc1N,*Nc1cnc(C(=O)O)cc1NC(=O)CSCc1c(Cl)cccc1C(*)=O,Nc1cnc(C(=O)O)cc1NC(=O)CSCc1c(Cl)cccc1C=O,0.0,0.99911004,Polyamidation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
662,OMG_polymer_27048,CN(CC(=O)O)c1ccccc1C(=O)O,Cc1cc(N)cc(C(=O)O)c1N,*Nc1cc(C)c(NC(=O)CN(C)c2ccccc2C(*)=O)c(C(=O)O)c1,Cc1cc(N)cc(C(=O)O)c1NC(=O)CN(C)c1ccccc1C=O,-1162.591939222002,0.9995159,Polyamidation,251.64949,-8.1973,0.0737,0.37412832,0.00094421,0.30195178,0.07312075,3.713189311,-1162.289987442002,-1162.216866692002,8.271,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
